GBRMPA_group,SHORT_NAME,Longitude,Latitude,reef.alias,Logger FLNTU,Logger Salinity,Water_Samples,Water (AIMS and JCU),Water (AIMS MMP),Water (JCU),ENTOX
60,PRN06,143.43129,-12.41259,Eel Reef North,,,JCU,,,1,
60,PRN05,143.36966,-12.38572,Eel Reef,,,JCU,,,1,
60,PRN04,143.35854,-12.41206,PRN04,,,JCU,,,1,
50,PRN03,143.31882,-12.43559,PRN03,,,JCU,,,1,
50,PRN02,143.28374,-12.46248,PRN02,,,JCU,,,1,
30,PRN01,143.280833,-12.4891,Pascoe River mouth north,,,JCU,,,1,
30,PRS01,143.2802,-12.49951,Pascoe River mouth south,,,JCU,,,1,
60,PRS05,143.4410,-12.50694,PRS05,,,JCU,,,1,
50,PRS03,143.3190,-12.51082,PRS03,,,JCU,,,1,
60,PRBB,143.37093,-12.51114,Middle Reef,,,JCU,,,1,
30,PRS02,143.31099,-12.52354,PRS02,,,JCU,,,1,
30,PRS2.5,143.3007,-12.5089,PRS2.5,,,JCU,,,1,
60,SR06,143.7441,-13.8294,Magpie Reef,,,JCU,,,1,
60,SR05,143.7229,-13.882003,Hannah Island,,,JCU,,,1,
60,SR04,143.7305,-13.92650,Burkitt Island,,,JCU,,,1,
50,SR03,143.7166,-13.98672,SR03,,,JCU,,,1,
30,SR02,143.6995,-14.04495,SR02,,,JCU,,,1,
30,SR01,143.70085,-14.06023,SR01,,,JCU,,,1,
30,SR00,143.6881,-14.0645,Stewart River mouth,,,JCU,,,1,
70,NR06,144.0242,-14.09457,Corbett Reef,,,JCU,,,1,
60,NR05,144.0487,-14.16915,NR05,,,JCU,,,1,
50,NR04,144.0686,-14.23984,NR04,,,JCU,,,1,
50,CI01,143.7864,-14.24359,Cliff Isles,,,JCU,,,1,
50,NR03,144.0900,-14.30737,NR03,,,JCU,,,1,
40,NR02,144.1159,-14.37558,Normanby inshore,,,JCU,,,1,
40,NR01,144.1434,-14.39462,Normanby River mouth,,,JCU,,,1,
40,KR02,143.9512,-14.42445,Kennedy inshore,,,JCU,,,1,
40,BR01,144.0250,-14.46403,Bizant River mouth,,,JCU,,,1,
40,KR01,143.9725,-14.47245,Kennedy River mouth,,,JCU,,,1,
50,ER03,145.3163,-15.41452,Endeavour offshore,,,JCU,,,1,
50,ER02b,145.2687,-15.43170,Endeavour north shore,,,JCU,,,1,
60,ER05,145.46243,-15.38362,Big Uncharted Reef,,,JCU,,,1,
70,ER06,145.4837,-15.18092,Forrester FLNTU,,,JCU,,,1,
60,AE04,145.4001,-15.44250,Egret and Boulder Reef,,,JCU,,,1,
30,ER01,145.2503,-15.45740,Endeavour mouth,,,JCU,,,1,
50,AR03b,145.3250,-15.48301,Dawson Reef,,,JCU,,,1,
50,AR02b,145.2922,-15.50526,Walker Bay,,,JCU,,,1,
30,AR01,145.2775,-15.52458,Annan mouth,,,JCU,,,1,
1,C1,145.484,-16.113,Cape Tribulation,,,AIMS,,1,,
,C2,145.4965,-16.29188,Snapper North,,,,,,,
1,C6,145.748,-16.788,Yorkey's Knob,,,AIMS,,1,,
1,C8,145.837,-16.848,Fairlead Buoy,,,AIMS,,1,,
1,RM1,145.996,-16.923,Fitzroy West,1,,AIMS,,1,,
1,RM4,145.991,-17.112,RM4,,,JCU,,,1,
1,RM8,146.007,-17.162,High West,1,1,AIMS/JCU,1,,,1
1,TUL1,146.143,-17.751,King,,,JCU,,,1,
2,RM9,145.992,-17.183,Palmer Point,,,JCU,,,1,
2,RM10,145.978,-17.203,Russell Mulgrave Mouth Mooring,1,1,AIMS/JCU,1,,,
2,TUL3,146.146,-17.926,Dunk North,1,1,AIMS/JCU,1,,,1
2,TUL4,146.104,-17.931,South Mission Beach,,,JCU,,,1,
2,TUL5,146.191,-17.96,Dunk Island South East,,,AIMS/JCU,1,,,
2,TUL6,146.116,-17.975,Between Tam O'Shanter and Timana,,,AIMS/JCU,1,,,
2,TUL8,146.133,-18.014,Bedarra,,,AIMS/JCU,1,,,
2,TUL9,146.187,-18.056,Triplets,,,JCU,,,1,
3,C4,145.509,-16.411,Port Douglas,,,AIMS,,1,,
3,C5,145.704,-16.664,Double Island,,,AIMS,,1,,
3,C11,145.955,-16.774,Green Island,,,AIMS,,1,,
3,RM2,146.01,-17.042,RM2,,,JCU,,,1,
3,RM3,145.994,-17.07,RM3,,,AIMS/JCU,1,,,
3,RM5,146.022,-17.159,High East,,,JCU,,,1,
3,RM6,146.052,-17.191,Normanby Island,,,JCU,,,1,
3,RM7,146.09,-17.227,Franklands West,1,,AIMS/JCU,1,,,
3,TUL2,146.26,-17.89,Clump Point East,,,AIMS/JCU,1,,,
4,RM12,145.953,-17.229,Russell-Mulgrave junction,,,JCU,,,1,
4,TUL11,146.045,-18.02,Tully River,,,JCU,,,1,
5,TUL7,146.079,-17.997,Hull River mouth,,,JCU,,,1,
5,TUL10,146.074,-18.023,Tully River mouth mooring,1,1,AIMS/JCU,1,,,
6,BUR1,146.489,-18.541,Palms West,1,,AIMS/JCU,1,,,
6,BUR2,146.435,-18.817,Pandora,1,,AIMS/JCU,1,,,
7,BUR3,146.708,-18.998,Cordelia Rocks,,,JCU,,,1,
8,BUR4,146.869,-19.155,Magnetic,1,,AIMS/JCU,1,,,
9,BUR5,146.853,-19.233,Inner Cleveland Bay,,,JCU,,,1,
10,BUR6,147.051,-19.19,Cape Cleveland,,,JCU,,,1,
10,BUR7,147.174,-19.283,Haughton 2,,,AIMS/JCU,1,,,
11,BUR8,147.141,-19.367,Haughton River mouth,,,JCU,,,1,
11,BUR9,147.249,-19.409,Barratta Creek,,,JCU,,,1,1
12,BUR10,147.622,-19.305,Yongala,1,1,AIMS,,1,,
13,BUR11,147.488,-19.367,Cape Bowling Green,,,JCU,,,1,
13,BUR12,147.603,-19.506,Plantation Creek,,,JCU,,,1,
14,BUR13,147.582,-19.588,Burdekin River mouth mooring,1,1,AIMS/JCU,1,,,
14,BUR14,147.597,-19.637,Burdekin Mouth 2,,,JCU,,,1,
14,BUR15,147.623,-19.719,Burdekin Mouth 3,,,JCU,,,1,
15,WHI1,148.722,-20.105,Double Cone,1,,AIMS/JCU,1,,,
15,WHI2,148.876,-20.16,Hook,,,JCU,,,1,
15,WHI3,148.778,-20.237,Molle North,,,JCU,,,1,
15,WHI0,148.81215,-20.25575,Daydream,1,,AIMS,,1,,
15,WHI4,148.888,-20.378,Pine,1,1,AIMS/JCU,1,,,
15,WHI5,149.039,-20.468,Seaforth,1,,AIMS/JCU,1,,,
16,WHI6,148.71,-20.578,OConnell River mouth,1,1,AIMS/JCU,1,,,
17,WHI7,148.861,-20.578,Repulse Islands dive mooring,1,1,AIMS/JCU,1,,,
18,WHI8,148.953,-20.769,Rabbit,,,JCU,,,1,
18,WHI11,149.245,-21.157,Pioneer River mouth,,,JCU,,,1,
19,WHI9,149.244,-20.799,Brampton Island,,,JCU,,,1,
20,WHI10.1,149.074,-20.939,Sand Bay 1,,,JCU,,,1,
20,WHI10.2,149.074,-20.939,Sand Bay 2,,,JCU,,,1,
20,WHI10,149.074,-20.939,Sand Bay,,,JCU,,,1,
,RM11,145.969,-17.223,Russell-Mulgrave River mouth,,,JCU,,,1,
,FTZ1,151.069,-23.1515,Barren,1,,AIMS,,1,,
,FTZ2,150.96,-23.2167,Keppels South,1,1,AIMS,,1,,
,FTZ3,150.8741667,-23.2371667,Pelican,,,AIMS,,1,,
,FTZ4,150.9133,-23.0922,North Keppel Island,,,AIMS,,1,,
,FTZ5,150.905,-23.341,Peak West,,,AIMS,,1,,
,FTZ6,150.9395,-23.4705,Fitzroy River Mouth,1,1,AIMS,,1,,






